Year,Month,Reported on,SVE,CVE,Title,Affected versions,Severity,Description,Acknowledgement
2018,12,2018-09-17,SVE-2018-13035,,Information disclosure in the g2d_drv driver,"O(8.x), P(9.0) devices with Exynos 9810 chipset",Low,"A kernel pointer vulnerability in g2d driver allows information disclosure.
The patch fixes incorrect implementation of kernel logging.",Jianqiang Zhao
2018,12,2018-10-15,SVE-2018-13187,,Heap overflow in baseband,"O(8.0) devices with Exynos 9810, 8895 chipsets",Critical,"A possible heap overflow vulnerability in baseband may cause memory issues.
The patch adds length check code in the baseband.",
2018,12,2018-10-15,SVE-2018-13188,,Stack overflow in baseband,"O(8.0) devices with Exynos 9810, 8895 chipsets",Critical,"A possible stack overflow vulnerability in baseband allows arbitrary code execution.
The patch adds length check code in the baseband.",
2018,12,2018-10-16,SVE-2018-13230,,Stack/heap overflow in?Trustlet,"N(7.x), O(8.0) ",Critical,"A stack/heap overflow vulnerability in sem Trustlet can cause an arbitrary code execution in the TEE.
The patch adds length check code in the Trustlet.",
2018,12,2018-10-16,SVE-2018-13231,,Stack/heap overflow in?Trustlet,"N(7.x), O(8.0) ",Critical,"A stack/heap overflow vulnerability in sem Trustlet can cause an arbitrary code execution in the TEE.
The patch adds length check code in the Trustlet.",
2018,12,2018-10-16,SVE-2018-13232,,Stack/heap overflow in?Trustlet,"N(7.x), O(8.0) ",Critical,"A stack/heap overflow vulnerability in sem Trustlet can cause an arbitrary code execution in the TEE.
The patch adds length check code in the Trustlet.",
2018,12,2018-10-16,SVE-2018-13233,,Stack/heap overflow in?Trustlet,"N(7.x), O(8.0) ",Critical,"A stack/heap overflow vulnerability in sem Trustlet can cause an arbitrary code execution in the TEE.
The patch adds length check code in the Trustlet.",
2019,1,2018-11-13,SVE-2018-13467,,Heap Overflow in Baseband (SS ASN Decoding),O(8.x) devices with Exynos9810 chipset,Critical,"A possible heap overflow vulnerability in baseband allows arbitrary code execution.
The patch adds length check code in the baseband.",Fluoroacetate working with Zero Day Initiative
2019,1,2018-11-13,SVE-2018-13474,,Captive Portal redirection vulnerability,"N(7.x), O(8.x), P(9.0)",Moderate,"A vulnerability in Captive Portal allows automatic redirection to unsafe applications.
The patch blocks handling of custom scheme in Captive Portal to prevent automatic redirection.",MWR Labs working with Zero Day Initiative
2019,2,2018-09-26,SVE-2018-13060,,Possible uninitialized memory disclosure in Gallery,"N(7.1), O(8.x), P(9.0) devices",Low,"A vulnerability in the library that parses the images exposes memory when opening images via Gallery app.
The patch addresses the memory exposure in Gallery app.",Belchenko Artem
2019,2,2018-09-09,SVE-2018-12981,,Keyboard learned words are leaked on the lock screen via S-Voice,"N(7.x), O(8.x) devices",Moderate,"A vulnerability in Keyboard allows access to learned words via S-Voice in the locked state.
The patch blocks access to Keyboard¡¯s learned words in the lock screen.",Bogdan
2019,2,2018-11-05,SVE-2018-13427,,Information disclosure in the ion debugfs driver,"N(7.1), O(8.x) devices with Exynos chipsets",Low,"A possible information leak vulnerability exists in the ion debugfs driver.
The patch prevents output of kernel driver in the kernel log.",Jianqiang Zhao
2019,2,2018-10-15,SVE-2018-13187,,Heap overflow in Baseband,"N(7.x), O(8.x), P(9.0) devices with Exynos chipsets",Critical,"A possible heap overflow vulnerability in baseband may cause memory issues.
The patch adds length check code in the baseband.",
2019,2,2018-10-15,SVE-2018-13188,,Stack overflow in Baseband,"N(7.x), O(8.x), P(9.0) devices with Exynos chipsets",Critical,"A possible stack overflow vulnerability in baseband allows arbitrary code execution.
The patch adds length check code in the baseband.",
2019,3,2018-10-09,SVE-2018-13162,,TCP SYN Packet Denial Of Service Vulnerability on the WIFI interface,"N(7.x), O(8.x) devices with Broadcom WIFI and SEC WIFI chipsets",High,"A vulnerability in WIFI allows denial of service due to memory exhaustion from TCP SYN flooding attack.
The patch prevents memory exhaustion when TCP SYN flooding attack is detected.",Pierre Barre and Chaouki Kasmi from DarkMatter
2019,3,2018-11-11,SVE-2018-13453,,Unauthorized access to sensitive information in Allshare,"N(7.x), O(8.x), P(9.0) devices",High,"A vulnerability in Allshare fileshare service allows unauthorized access to device sensitive information.
The patch modifies the storage path of device information to sandboxed area for protection.",Andr. Ess
2019,3,2018-11-27,SVE-2018-13563,,Leakage of private mode content¡¯s thumbnail,"Selected N(7.x), O(8.x) devices which supports Private Mode",Moderate,"A vulnerability in Gallery leaks Private Mode thumbnail contents.
The patch modifies handling of cache file to disabled access to Private Mode.",Andr. Ess
2019,3,2018-12-28,SVE-2018-13764,,Preview exposure of Secure Folder,P(9.0) devices,Moderate,"A vulnerability in Secure Folder allows exposure of preview in recent apps.
The patch fixes Secure Folder to protect preview in recent apps.",Bogdan
2019,3,2018-12-28,SVE-2018-13765,,Unpinning of app without authentication,P(9.0) devices,Moderate,"A vulnerability in Pin Window feature allows unpinning of app without authentication.
The patch fixes Pin Window to enforce authentication when unpinning app.",Bogdan
2019,3,2019-01-03,SVE-2019-13773,,Secure startup bug,P(9.0) devices,Moderate,"A vulnerability in Secure Startup feature allows exposure of keyboard suggested words.
The patch blocks Samsung Keyboard from showing suggested words in the Secure Startup.",Bogdan
2019,3,2019-01-12,SVE-2019-13814,,Security setting modifications without authentication,P(9.0) devices,High,"A vulnerability in Settings allows security settings modifications without authentication via certain unprivileged activities.
The patch fixes Settings to protect component from unprivileged activities.",Bogdan
2019,3,2019-01-12,SVE-2019-13815,,Security setting modifications without authentication,P(9.0) devices,High,"A vulnerability in Settings allows security settings modifications without authentication via certain unprivileged activities.
The patch fixes Settings to protect component from unprivileged activities.",Bogdan
2019,3,2018-11-13,SVE-2018-13467,,Heap Overflow in Baseband(SS ASN Decoding),O(8.x) devices with Exynos chipsets,Critical,"A possible heap overflow vulnerability in baseband allows arbitrary code execution.
The patch adds length check code in the baseband.",Fluoroacetate working with Zero Day Initiative
2019,3,2018-11-11,SVE-2018-13452,,Time based SQL injection in Contacts,"N(7.x), O(8.x) devices",High,"A possible time-based SQL injection vulnerability in Contacts application allows unauthorized access to contact information.
The patch adds placeholder to prevent SQL injection in Contacts application.",Jelmer de Hen
2019,3,2018-11-21,SVE-2018-13547,,FRP bypass using SVoice T&C,"N(7.x), O(8.x) devices",Low,"External link exposure in SVoice T&C allows Factory Reset Protection (FRP) bypass.
The patch prevents access to the specific link by removing the URL in T&C.","Pholwongsa, Voottisak"
2019,4,2018-10-09,SVE-2018-13164,,Change of protected features without authentication via Emergency mode,"N(7.x), O(8.x), P(9.0) devices",Moderate,"Improper startup procedure in Emergency mode allows unauthorized users to accept Emergency mode EULA instead of the device owner and disable some protected features without any prior authentication.
The patch adds authentication procedure before it starts Emergency mode.",Andr. Ess
2019,4,2018-10-09,SVE-2018-13165,,Change of protected features without authentication via Emergency mode,"N(7.x), O(8.x), P(9.0) devices",Moderate,"Improper startup procedure in Emergency mode allows unauthorized users to accept Emergency mode EULA instead of the device owner and disable some protected features without any prior authentication.
The patch adds authentication procedure before it starts Emergency mode.",Andr. Ess
2019,4,2019-01-25,SVE-2019-13899,,Smartwatch bug,P(9.0) devices,High,"A vulnerability in Secure Folder allows to show the Secure Folder notification content in smartwatch.
The patch adds the notification ID check and reject if it comes from Secure Folder.",Bogdan
2019,4,2019-01-29,SVE-2019-13910,,Arbitrary code execution in Trustlet,"N(7.X), O(8.X) devices with Exynos 7570, 7870, 7880, 7885, 8890, 8895, 9810 chipsets",Critical,"Double-fetch vulnerability in Trustlet allows arbitrary code execution in the TEE.
The patch addresses the double-fetch vulnerability in the Trustlet.",Eloi Sanfelix
2019,4,2019-02-05,SVE-2019-13963,,Stack overflow in Baseband,"N(7.x), O(8.x), Go(8.1), P(9.0), Go(9.0) devices with Exynos chipsets",Critical,"A stack overflow vulnerability in baseband allows arbitrary code execution.
The patch adds length check code in the baseband code.",
2019,5,2018-10-25,SVE-2018-13326,,Vulnerability of secured notifications when using Voice Assistant,"N(7.x), O(8.x), P(9.0) devices",High,"When the voice assistant is turned on, the secured app¡¯s notification content becomes audible outside of container.
The patch modifies the voice assistant not to notify the secured app¡¯s notifications.",Aleksandr Ruiz
2019,5,2019-02-06,SVE-2019-13958,,Information disclosure in GateKeeper Trustlet,P(9.0) devices with Exynos chipsets,High,"An invalid input check vulnerability in Gatekeeper Trustlet allows information disclosure, and it can lead to memory leak.
The patch adds the proper input validation in Gatekeeper Trustlet.",Andrei Akimov of Digital Security
2019,5,2019-03-13,SVE-2019-14126,,Heap overflow in the keymaster Trustlet,"N(7.x) O(8.x) P(9.0) devices with MSM8996, MSM8998, Exynos7420, Exynos7870, Exynos8890, Exynos8895 chipset",Critical,"A heap overflow in the keymaster Trustlet allows attackers to write memory in TEE, and it can lead to arbitrary code execution in a privileged process.
The patch adds boundary checks in Keymaster Trustlet.",Andrei Akimov of Digital Security
2019,5,2019-03-04,SVE-2019-14073,,Potential Phishing Flow in OMACP,All devices with all OS versions,High,"A vulnerability in OMACP application allows attackers to send manipulated OMCP message to change the network and internet settings in the device via phishing campaigns.
The patch blocks devices from receiving insecure OMACP message.",Artyom Skrobov of Check Point
2019,5,2018-09-26,SVE-2018-12896,,Keyboard learned words and clipboard contents are leaked on the lock screen via Bixby,Selected O(8.x) devices,Moderate,"This vulnerability allows access to keyboard learned words and clipboard contents via Bixby.
The patch removes options for showing learned words and editing text from the keyboard while the devices are locked.",Bogdan
2019,5,2018-09-26,SVE-2018-12897,,Keyboard learned words and clipboard contents are leaked on the lock screen via Bixby,Selected O(8.x) devices,Moderate,"This vulnerability allows access to keyboard learned words and clipboard contents via Bixby.
The patch removes options for showing learned words and editing text from the keyboard while the devices are locked.",Bogdan
2019,5,2019-01-31,SVE-2019-13921-1,,A use-after-free vulnerability exists within the MALI GPU driver,"O(8.0), P(9.0) devices with Exynos8890 chipset",High,"A vulnerability in MALI GPU driver allows arbitrary kernel read/write.
The patch removes vulnerable logic in MALI GPU driver.",Gruskovnjak Jordan
2019,5,2019-01-31,SVE-2019-13921-2,,RKP Memory Corruption,"N(7.x), O(8.x), P(9.0) devices with Exynos7570, 7580, 7870, 7880, 8890 chipsets",High,"A vulnerability in RKP allows arbitrary write to protected memory.
The patch fixes memory mapping logic in RKP.",Gruskovnjak Jordan
2019,5,2019-02-11,SVE-2019-14008,,Security issue in Secure Folder,"O(8.x), P(9.0) devices",Moderate,"A vulnerability allows access to Secure folder without authentication via adb command.
The patch blocks access to Secure folder via adb command while Secure folder is locked.",James Dean working with Zero Day Initiative
2019,5,2019-02-23,SVE-2019-14031,,Gallery Security Issue,O(8.x) devices,Low,"A vulnerability disables Gallery application permanently.
The patch addresses the issue.",Julian Jackson
2019,5,2019-02-04,SVE-2019-13949,,NULL dereference in Authnr Trustlet,"N(7.x), O(8.0), P(9.0) devices with Qualcomm chipsets",Low,"An invalid input check vulnerability in Authnr Trustlet allows null pointer dereference leading to a possible crash.
The patch adds the proper input validation in Authnr Trustlet.",Slava Makkaveev of Check Point
2019,5,2019-02-04,SVE-2019-13950,,NULL dereference in ESECOMM Trustlet,"N(7.x), O(8.0), P(9.0) devices with Qualcomm chipsets",Low,"An invalid input check vulnerability in ESECOMM Trustlet allows null pointer dereference leading to a possible crash.
The patch adds the proper input validation in ESECOMM Trustlet.",Slava Makkaveev of Check Point
2019,5,2019-03-02,SVE-2019-14071,,Remote memory overflow in Shannon modem,"N(7.x), O(8.x), P(9.0) devices with Exynos chipsets",Critical,"A heap overflow vulnerability in baseband can lead to memory issues.
The patch adds length check code in the baseband code.",
2019,6,2019-02-06,SVE-2019-13958,,Information disclosure in GateKeeper Trustlet,"N(7.x), O(8.x) devices with Exynos chipsets",High,"An invalid input check vulnerability in Gatekeeper Trustlet allows information disclosure, and it can lead to memory leak.
The patch adds the proper input validation in Gatekeeper Trustlet.",Akimov Andrei Valerievich
2019,6,2019-02-04,SVE-2019-13952,,Integer underflow in Secure Storage Trustlet,"O(8.x), P(9.0) devices with Qualcomm chipsets",High,"A possible invalid input check vulnerability exists in Secure Storage Trustlet.
The patch adds size check logic in the Trustlet.",Slava Makkaveev of Check Point
2019,6,2019-03-21,SVE-2019-14170,,Information Leak from SPENgesture Service,"N(7.1), O(8.x), P(9.0)",Moderate,"A vulnerability in SPENgesture allows unprivileged applications to obtain and modify user input logs.
The patch adds signature check of the caller.",Yousra Aafer of University of Waterloo
2019,6,2019-04-09,SVE-2019-14550,,Use of insecure HTTP link in Galaxy store,"N(7.x), O(8.x), P(9.x)",High,"Selected apps in Galaxy store sends request URL to check update availability over HTTP allowing an adversary Man-in-the-Middle (MitM) attack to download arbitrary apps.
The patch fixes the app update checking URL to HTTPS.",
2019,7,2019-02-04,SVE-2019-13952,,Integer Underflow in Secure Storage Trustlet,O(8.0) devices with Qualcomm SDM660 chipset,High,"An invalid input check vulnerability exists in Secure Storage Trustlet.
The patch adds the proper input validation in Secure Storage Trustlet.",Slava Makkaveev of Check Point
2019,7,2019-04-29,SVE-2019-14371,,Memory Overflow in Bootloader,"O(8.1), P(9.0) devices with Exynos chipsets",Critical,"A heap overflow vulnerability in bootloader can lead to memory issues.
The patch adds length check code in the bootloader.",Aleksandr Tarasikov
2019,7,2019-04-01,SVE-2019-14208,,Leaking Private Mode thumbnail contents,"Select N(7.x), O(8.x) devices",Moderate,"A vulnerability in Gallery allows leaking of contents in Private Mode even when Private Mode is disabled.
The patch moves the cache file to the application's sandbox.",Andr. Ess
2019,7,2019-05-15,SVE-2019-14545,,Bluetooth on/off without permission,P(9.0),Low,"A vulnerability in Quick Panel allows turning on or turning off of Bluetooth without authentication in the secure lock screen state.
The patch modifies the lock state check logic to enforce authentication in Bluetooth Quick Panel.",Andr. Ess
2019,7,2019-02-28,SVE-2019-14058,,Local SQL Injection in Gear VR Service Content Provider,N(7.x) O(8.x) P(9.0),Moderate,"Third-party apps are able to perform arbitrary SQL queries via injection vector under the context of the app hosting the content provider.
The patch prevents SQL query strings using parameterized bound variables to mitigate injection.",Calum Hutton
2019,7,2019-02-28,SVE-2019-14062,,Local SQL Injection in Story Video Editor Content Provider,N(7.x) O(8.x) P(9.0),High,"Third-party apps are able to perform arbitrary SQL queries via injection vector under the context of the app hosting the content provider.
The patch prevents SQL query strings using parameterized bound variables to mitigate injection.",Calum Hutton
2019,8,2019-04-29,SVE-2019-14372,,SMMU page fault in MALI GPU Driver,P(9.0) devices with Exynos chipsets,Low,"An invalid address mapping in AFBC buffer allows corruption of memory resulting in kernel panic.
The patch modifies to map the address properly.",Aleksandr Tarasikov
2019,8,2019-07-17,SVE-2019-14412,,Buffer overflow Vulnerability when loading UH Partition,P(9.0) devices with Exynos 9820 chipset,Low,"A possible buffer overflow vulnerability in secure boot allows arbitrary memory issues.
The patch adds size check logic and integrity check logic in secure boot code.",Aleksandr Tarasikov
2019,8,2019-05-12,SVE-2019-14462,,Gallery Bug of Location information settings,"N(7.x), O(8.x), P(9.0)",Low,"A vulnerability in Gallery results in acceptance of T&C for Location information sharing without secure lock screen authentication.
The patch modifies the lock state check logic to enforce authentication in the T&C for Gallery Location information sharing.",Bogdan
2019,8,2019-05-25,SVE-2019-14653,,Secure Folder Motion photo bug,P(9.0),Moderate,"A vulnerability in Motion photo player allows access to image information protected by Secure folder on normal state.
The patch integrates the layer of Motion photo player with Gallery layer on recent app view.",Bogdan
2019,8,2019-02-28,SVE-2019-14059,,Local SQL Injection in RCS Content Provider,N(7.x) O(8.x) P(9.0),Moderate,"Third-party apps are able to perform arbitrary SQL queries via injection vector in RCS content provider.
The patch prevents SQL injection.",Calum Hutton
2019,8,2019-02-28,SVE-2019-14061,,Local SQL Injection in Wi-Fi history Content Provider,N(7.x) O(8.x) P(9.0),Low,"Third-party apps are able to perform arbitrary SQL queries via injection vector Wi-Fi history content provider.
The patch prevents SQL injection.",Calum Hutton
2019,8,2019-05-27,SVE-2019-14665,,Stack overflow in HDCP Trustlet,"N(7.x), O(8.x), P(9.0) devices with Exynos chipsets",High,"A possible stack overflow vulnerability in HDCP Trustlet allows potential arbitrary code execution.
The patch adds proper check of input data in trustlet.",Chao Cheng Yu of TeamT5
2019,8,2019-06-14,SVE-2019-14847,,Missing Param Type check in EXT_FR Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in EXT_FR Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-16,SVE-2019-14850,,Missing Param Type check in HDCP Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in HDCP Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-16,SVE-2019-14851,,Missing Param Type check in SEC_FR Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in SEC_FR Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-18,SVE-2019-14864,,Missing Param Type check in FINGERPRINT Trustlet,"O(8.1), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in FINGERPRINT Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-18,SVE-2019-14867,,Missing Param Type check in MLDAP Trustlet,"O(8.1), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in MLDAP Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-20,SVE-2019-14885,,Missing Param Type check in WVDRM Trustlet,P(9.0) devices with TEEGRIS,Critical,"A lack of check for param type in WVDRM Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-21,SVE-2019-14892,,Missing Param Type check in SKPM Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in SKPM Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,8,2019-06-07,SVE-2019-14764,,Arbitrary file create with system-app privilege,"N(7.x), O(8.x), P(9.0)",Moderate,"A vulnerability in FotaAgent allows creating privileged files without proper permission from unprivileged process.
The patch adds proper permission check on FotaAgent to address the vulnerability.",Edward Flanker
2019,8,2019-07-17,SVE-2019-14651,,Arbitrary memory overwrite and stack overflow in SEM Trustlet,"O(8.x), P(9.0) devices with Exynos chipsets",Critical,"A possible arbitrary memory overwrite and stack overflow vulnerabilities in SEM Trustlet allows arbitrary code execution.
The patch adds size check logic of wsm data in SEM Trustlet.",Hung Chi Su of Team T5
2019,8,2019-07-17,SVE-2019-14666,,Arbitrary memory overwrite and stack overflow in SEM Trustlet,"O(8.x), P(9.0) devices with Exynos chipsets",Critical,"A possible arbitrary memory overwrite and stack overflow vulnerabilities in SEM Trustlet allows arbitrary code execution.
The patch adds size check logic of wsm data in SEM Trustlet.",Hung Chi Su of Team T5
2019,8,2019-06-21,SVE-2019-14891,,Missing Param Type check in SEM Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Critical,"A lack of check for param type in SEM Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Hung Chi Su of Team T5
2019,8,2019-02-28,SVE-2019-14685,,Local SQL Injection in RCS Content Provider,N(7.x) O(8.x) P(9.0),Moderate,"Third-party apps are able to perform arbitrary SQL queries via injection vector in RCS content provider.
The patch prevents SQL injection.",Julien Thomas
2019,8,2019-04-26,SVE-2019-14365,,Exported and SQLi vulnerable MemorySaver Content Provider,P(9.0),Moderate,"A vulnerability in MemorySaver allows access to content provider database from unprivileged process.
The patch adds the permission of the content provider.",Julien Thomas
2019,8,2019-06-13,SVE-2019-14837,,Use after free in ion driver,"O(8.x), P(9.0) devices with Exynos9810 chipsets",High,"A possible use after free vulnerability exists in ion driver.
The patch removes vulnerable logic in ion driver.",Nicolas Brito
2019,8,2019-03-29,SVE-2019-14204,,Vulnerability in the handshake of WPA3,P(9.0),Moderate,"This vulnerability may weaken WPA3 security protection due to gaps in the implementation of the WPA3 specification to allow potential downgrade and/or dictionary attack.
The patch addresses the issue.","Vanhoef, Mathy"
2019,9,2019-07-01,SVE-2019-14993,,Heap overflow in up_parm binary,"N(7.x), O(8.x), P(9.0) with Exynos chipset",Critical,"An invalid length check of an image file in up_param binary allows code execution in bootloader.
The patch adds the proper length check of image.",Aleksandr Tarasikov
2019,9,2019-06-24,SVE-2019-14939,,Buffer overflow vulnerability when kernel parses untrusted data,"O(8.1), P(9.0) Exynos devices",Low,"A possible buffer overflow vulnerability exists in load_kernel when kernel parses untrusted data.
The patch adds length check code in load_kernel.",Aleksandr Tarasikov
2019,9,2019-05-17,SVE-2019-14575,,Brute force attack on screen lock password,"O(8.x), P(9.0) devices with Exynos7885, Exynos8895, and Exynos9810 chipsets",High,"A vulnerable design in GateKeeper trustlet allows brute force attack on screen lock password.
The patch introduces failure count stored in the secure location.",Chao Cheng Yu of TeamT5
2019,9,2019-06-20,SVE-2019-14885,,Missing Param Type check in WVDRM Trustlet,O(8.x) devices with TEEGRIS,Critical,"A lack of check for param type in WVDRM Trustlet with TEEGRIS allows arbitrary code execution.
The patch adds proper check of param type.",Che-Yang Wu of TeamT5
2019,9,2019-05-24,SVE-2019-14651,,Arbitrary memory overwrite and stack overflow in SEM Trustlet,P(9.0) devices with TEEGRIS and Qualcomm chipsets,Critical,"A possible arbitrary memory overwrite and stack overflow in SEM Trustlet allows arbitrary code execution.
The patch adds size check logic of wsm data in SEM Trustlet.",Hung Chi Su of Team T5
2019,9,2019-05-24,SVE-2019-14666,,Arbitrary memory overwrite and stack overflow in SEM Trustlet,P(9.0) devices with TEEGRIS and Qualcomm chipsets,Critical,"A possible arbitrary memory overwrite and stack overflow in SEM Trustlet allows arbitrary code execution.
The patch adds size check logic of wsm data in SEM Trustlet.",Hung Chi Su of Team T5
2019,9,2019-07-08,SVE-2019-15035,,FRP bypass using RCS call,P(9.0),Moderate,"A vulnerability allows FRP bypass with RCS call.
The patch addressed the issue.",MIRCEA PASCA
2019,9,2019-07-15,SVE-2019-15089,,FRP bypass using status bar,P(9.0),Moderate,"A vulnerability allows FRP bypass with status bar.
The patch addressed the issue.",MIRCEA PASCA
2019,9,2019-07-20,SVE-2019-15138,,FRP bypass using Smart Switch,"P(9.0), O(8.0), N(7.1)",Moderate,"A vulnerability allows FRP bypass with a Smart Switch application.
The patch addressed the issue.",MIRCEA PASCA
2019,9,2019-07-10,SVE-2019-15067,,Use-after-free via race condition,"O(8.x), P(9.0) devices with Exynos and Qualcomm chipsets",Low,"A Use-After-Free vulnerability due to race condition causes memory corruption.
The patch introduces synchronization points to avoid all possibility of a race condition.","Salerno, Steven"
2019,9,2018-10-19,SVE-2018-13300,,Authentication bypass for change of USB setting,"O(8.x), P(9.0)",High,"A vulnerability allows attackers to change USB configuration without authentication.
The patch blocks the circumvention of authentication.",Valerio Brussani
2019,9,2019-06-17,SVE-2019-14858,,Remote stack corruption in Shannon modem,All devices with SMP1300 Exynos modem chipset and above,Critical,"An invalid length check of RP-Originator/Destination address allows remote stack corruption.
The patch adds the proper length check of RP-Originator/Destination address.",
2019,10,2019-01-09,SVE-2019-13805,,S Secure App Lock vulnerability,O(8.x) devices released in China and India,Low,"A vulnerability in ¡°S Secure¡± app, which is only released in China and India, allows users to access the content of ¡°locked¡± app without password.
The patch addresses the issue.",Niraj Khatiwada
2019,10,2019-07-22,SVE-2019-15143,,Arbitrary memory read and write in RKP,"P(9.0) devices with SM6150, SM8150, SM8150_FUSION, exynos7885, exynos9610, exynos9820 chipsets",High,"A lack of memory range check in RKP allows arbitrary memory read and write.
The patch adds proper range check of memory in RKP.",Aleksandr Tarasikov
2019,10,2019-08-07,SVE-2019-15221,,RKP Memory Corruption,"P(9.0) devices with SM6150, SM8150, SM8150_FUSION, exynos7885, exynos9610, exynos9820 chipsets",High,"A lack of memory range check in RKP allows controlling the effective address in EL2.
The patch adds proper range check of memory in RKP.",Aleksandr Tarasikov
2019,10,2019-08-08,SVE-2019-15230,,Potential integer overflow in Bootloader,"N(7.x), O(8.x), P(9.0) devices with Exynos chipsets",Critical,"Type mismatch between signed and unsigned integer in bootloader can lead to integer overflow.
The patch prevent integer overflow by changing the type of a variable into unsigned integer.",Aleksandr Tarasikov
2019,10,2019-08-11,SVE-2019-15264,,Buffer overflow in BIOSUB Trustlet,P(9.0) devices with TEEGRIS,High,"A possible buffer overflow vulnerability exists in BIOSUB trustlet code exposing secure memory to user space.
The patch adds proper validation of buffer length to prevent buffer overflow.",Aleksandr Tarasikov
2019,10,2019-08-14,SVE-2019-15272,,A missing bounds check in SEC_FR Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Low,"Lack of boundary checking of a buffer in SEC_FR trustlet can lead to out of bounds write.
The patch adds boundary checking.",Aleksandr Tarasikov
2019,10,2019-07-08,SVE-2019-15055,,Lockscreen Bypass Vulnerability through Gallery,Selected P(9.0) devices,Low,"A vulnerability in Gallery allows access to previously taken photos without authentication.
The patch adds the proper validation of the parameter type.","Hamin, John"
2019,10,2019-08-02,SVE-2019-15189,,Full access to pictures on locked devices,N(7.x),Moderate,"A vulnerability in Gallery app allows unauthorized users to get access to all pictures on the device.
The patch blocks the path which can be used to access all pictures stored in device storage.",Landerretche Serge
2019,10,2019-06-24,SVE-2019-14941,,FRP bypass using Message,"N(7.x), O(8.x), P(9.0)",Moderate,"A vulnerability allows FRP bypass with Class 0 Type Message.
The patch addresses the issue.",MIRCEA PASCA
2019,10,2019-07-08,SVE-2019-15035,,FRP bypass using RCS call,P(9.0),Moderate,"A vulnerability allows FRP bypass with RCS call.
The patch addresses the issue.",MIRCEA PASCA
2019,10,2019-07-26,SVE-2019-15164,,FRP bypass using External keyboard,O(8.x),Moderate,"A vulnerability allows FRP bypass with External keyboard.
The patch addresses the issue.",MIRCEA PASCA
2019,10,2019-08-10,SVE-2019-15262,,FRP with SIM card by blocking PUK code,"N(7.x), O(8.x), P(9.0)",Moderate,"A vulnerability allows FRP bypass with SIM card by blocking PUK code.
The patch addresses the issue.",MIRCEA PASCA
2019,10,2019-06-19,SVE-2019-14869,,OOB Read in Wi-Fi Vendor Command,"P(9.0), O(8.x), N(7.1) devices with Broadcom chipset",Low,"A possible information leak vulnerability exists in Wi-Fi vendor command.
The patch adds proper size check to prevent OOB read.","Salerno, Steven"
2019,10,2019-06-29,SVE-2019-14990,,Buffer Overflow Vulnerability in Touch Screen Driver,"N(7.x), O(8.x), P(9.0) devices with Exynos chipsets",Low,"A possible buffer overflow vulnerability exists in touch screen driver.
The patch adds proper validation of buffer length to prevent buffer overflow.","Salerno, Steven"
2019,10,2019-08-10,SVE-2019-15261,,A missing bounds check in BIOSUB Trustlet,"O(8.x), P(9.0) devices with TEEGRIS",Low,"Lack of boundary checking of a buffer in BIOSUB trustlet can lead to out of bounds write.
The patch adds boundary checking.",
2019,10,2019-05-02,SVE-2019-15435,,Security enhancement for IMEI,S9 and Note9 devices,Critical,"Enhancement in IMEI security mechanism is required for improved protection against potential IMEI manipulation.
The patch improves IMEI protection via enhancement in IMEI security mechanism.",
2019,11,2019-08-14,SVE-2019-15274,,OOB write in ICCC Trustlet,"O(8.x), P(9.0) devices with Selected Exynos chipsets",High,"An invalid size check vulnerability exists in ICCC Trustlet.
The patch adds size check logic in the Trustlet.",Aleksandr Tarasikov
2019,11,2019-08-18,SVE-2019-15283,,rbitrary memory write in TEEGRIS,"O(8.x), P(9.0) devices with Exynos chipset",Low,"A buffer overflow vulnerability in HDCP Trustlet allows arbitrary memory write in secure memory within TEEGRIS.
The patch adds proper validation of the buffer length in trustlet and adds blocks access to unnecessary memory region.",Federico Menarini of Riscure
